n; pi Leibniz; pi Euler; pi Wallis 
1;2.895238095238095;2.449489742783178;2.6666666666666665
2;2.976046176046176;2.7386127875258306;2.844444444444444
3;3.017071817071817;2.8577380332470415;2.9257142857142853
4;3.041839618929402;2.9226129861250305;2.972154195011337
5;3.0584027659273314;2.9633877010385707;3.0021759545569062
6;3.070254617779183;2.9913764947484185;3.0231701920013605
7;3.0791533941974256;3.011773947846214;3.038673628883419
8;3.0860798011238324;3.027297856657843;3.0505899960555105
9;3.091623806667838;3.0395075895610533;3.06003454712689
10;3.0961615264636406;3.04936163598207;3.0677038066434985
11;3.099944032373806;3.0574815067075627;3.074055160280442
12;3.103145312886011;3.064287817833928;3.0794013431678864
13;3.1058897382719457;3.0700753718932203;3.083963419231839
14;3.1082685666989454;3.0750569155713614;3.087902069831113
15;3.110350273698685;3.079389826032086;3.09133688859622
16;3.112187242699833;3.0831930203394537;3.0943587232869296
17;3.1138202290235726;3.086558025753714;3.09703782174865
18;3.1152814162381843;3.089556434969781;3.0994293567461395
19;3.1165965567938314;3.092245052300697;3.101577263438271
20;3.117786501758877;3.094669524113704;3.103516961539233
21;3.1188683137940356;3.0968669499439283;3.105277322833356
22;3.1198560900627106;3.098867793222209;3.1068821173154406
23;3.1207615795929877;3.100697301395178;3.108351092311807
24;3.121594652591009;3.1023765763598083;3.1097007888347385
25;3.122363661530738;3.1039233917005755;3.110945166901499
26;3.1230757220558827;3.1053528239462542;3.1120960900117107
27;3.123736933726269;3.1066777454164556;3.1131637044508227
28;3.124352555119112;3.1079092128133925;3.1141567391252885
29;3.124927143928995;3.109056776410318;3.115082744697434
30;3.1254646699654125;3.1101287281412624;3.1159482858879586
31;3.1259686069732866;3.1111323022281687;3.1167590973076535
32;3.126442007766233;3.112073838611087;3.1175202106403295
33;3.1268875661065283;3.112958916985707;3.1182360591387543
34;3.127307667981233;3.113792467435733;3.1189105640185164
35;3.1277044343354463;3.1145788622931323;3.119547206305518
36;3.1280797568782566;3.1153219928400357;3.12014908691642
37;3.1284353282369834;3.116025333692319;3.120718977160606
38;3.1287726674737533;3.116691997112655;3.1212593613990753
39;3.12909314177572;3.1173247790439818;3.121772473245434
40;3.1293979849720013;3.117926198299378;3.1222603264214372
41;3.1296883134060423;3.1184985300665664;3.1227247411658103
42;3.1299651395937995;3.1190438346665714;3.1231673669264293
43;3.1302293840198936;3.1195639823326893;3.1235897019320986
44;3.130481885361307;3.1200606746377715;3.123993110133304
45;3.1307234093778513;3.1205354630870756;3.1243788359155156
46;3.1309546566679223;3.1209897653046594;3.124748016919405
47;3.13117626945498;3.1214248791690196;3.125101695246164
48;3.131388837543196;3.121841995194823;3.125440827280374
49;3.131592903558552;3.1222422074094722;3.1257662923253897
50;3.1317889675734527;3.1226265229337264;3.126078900215411
51;3.1319774911978193;3.122995870443018;3.1263793980429813
52;3.1321589012071165;3.1233511076591096;3.1266684761195456
53;3.1323335927673304;3.123693027999298;3.126946773269178
54;3.1325019323081844;3.1240223664916593;3.127214881540915
55;3.132664260088555;3.1243398050491447;3.1274733504128496
56;3.1328208924918832;3.1246459771821593;3.1277226905508084
57;3.132972124084163;3.1249414722181563;3.1279633771757065
58;3.133118229462667;3.125226839087383;3.1281958530863103
59;3.1332594649198287;3.125502589725938;3.1284205313778486
60;3.1333960699434784;3.1257692021405243;3.1286377978915914
61;3.1335282685719177;3.126027123173502;3.1288480134259524
62;3.1336562706199507;3.126276771001872;3.129051515735769
63;3.1337802727899886;3.126518537399598;3.1292486213430593
64;3.1339004596806035;3.1267527897890046;3.129439627179679
65;3.1340170047034026;3.1269798731038416;3.1296248120798023
66;3.1341300709178044;3.127200111483887;3.129804438138006
67;3.1342398117921646;3.1274138098185906;3.129978751946869
68;3.1343463718987246;3.127621255155218;3.130147985726374
69;3.134449887548997;3.1278227179851794;3.130312358355987
70;3.134550487375462;3.12801845342065;3.1304720763190645
71;3.1346482928647954;3.128208702272253;3.13062733456815
72;3.1347434188472683;3.1283936920373785;3.1307783173187924
73;3.1348359739464757;3.1285736378076576;3.1309251987786713
74;3.1349260609930845;3.1287487431032104;3.131068143818108
75;3.1350137774059217;3.128919200640468;3.131207308587378
76;3.13509921554337;3.1290851930396557;3.1313428410856936
77;3.135182463027735;3.129246893477402;3.1314748816862035
78;3.1352636030449776;3.12940446628937;3.131603563620935
79;3.135342714621968;3.1295580675273276;3.131729013429196
80;3.1354198728832063;3.129707845474619;3.131851351372609
81;3.135495149288758;3.129853941123617;3.1319706918196375
